CustomerID,Name,Region,JoinDate,OpenInvoices_num,RetentionCategory_Cat
1045,Dr. Susan Bailey,North,2020-10-02,1,New
1046,Tyler Colon,Central,2021-03-03,8,AtRisk
1047,Ashley Pearson,West,2020-10-04,8,AtRisk
1048,Dr. Donald Proctor,North,2024-03-17,3,AtRisk
1049,Rebecca Jordan,West,2022-10-08,5,New
1050,Jeffrey Mclaughlin,EAST,2022-03-28,2,Recovered
1051,Amy Nguyen,Central,2024-02-13,8,New
1052,Brandon Hinton,south-west,2022-11-10,3,Loyal
1053,Benjamin Cline,east,2022-01-25,5,Loyal
1054,Laura Mcdonald,South,2022-12-03,4,AtRisk
1055,William Benitez,east,2020-11-04,8,Recovered
1056,Kristina Wilson,east,2023-05-15,2,Loyal
1057,Kathy Hall,North,2023-10-27,6,Recovered
1058,Steven Jackson,Central,2020-06-26,5,New
1059,Steve Massey,West,2020-08-06,1,New
1060,Mr. Christopher Thompson,South,2023-04-10,8,New
1061,Taylor Kaufman,North,2021-07-23,6,Recovered
1062,Ashley Harmon,South,2024-02-13,2,Loyal
1063,Howard Case,south-west,2021-02-15,8,New
1064,Joshua Cline,EAST,2024-02-19,6,New
1065,Daniel Adams,Central,2023-07-02,3,Recovered
1066,Derrick Myers,North,2022-04-06,5,New
1067,Lawrence Pearson,east,2023-04-29,2,Recovered
1068,Melissa Gutierrez,East,2023-12-25,6,Loyal
1069,Virginia Warren,North,2023-08-24,8,Recovered
1070,Brittany Johnson,East,2021-06-04,7,Recovered
1071,Christopher Frost,east,2020-08-21,3,Loyal
1072,Shannon Schmitt,EAST,2022-08-23,7,AtRisk
1073,Matthew Clark,Central,2023-08-21,7,AtRisk
1074,Alyssa Evans,West,2021-10-27,3,Loyal
1075,Joseph Chavez,North,2023-01-01,5,New
1076,Glenn Shelton,east,2024-05-01,3,Loyal
1077,Amy Espinoza,North,2021-05-29,2,Recovered
1078,Danielle Fuller,south-west,2023-12-08,8,Loyal
1079,Zachary Thompson MD,EAST,2022-09-05,5,New
1080,Thomas Parker,south-west,2023-02-28,5,New
1081,Ryan White,South,2020-09-04,2,New
1082,Connor Martin,Central,2023-01-05,6,Loyal
1083,Jacqueline Bishop,South,2020-06-05,4,Loyal
1084,Martha Mccall,North,2022-05-31,0,New
1085,Steven Wright,Central,2021-08-22,3,AtRisk
1086,Robert Rodriguez,EAST,2023-03-01,4,AtRisk
1087,Carla Tran,EAST,2020-07-22,8,Loyal
1088,Lindsay Torres,east,2021-12-30,4,AtRisk
1089,Matthew Hernandez,North,2023-04-12,5,AtRisk
1090,Nicholas Dunlap,South,2020-10-11,5,New
1091,Brianna Thomas,south-west,2023-05-23,2,Recovered
1092,Timothy Hill,West,2023-09-07,6,New
1093,Christian Medina,East,2023-02-04,5,New
1094,Robert Jones,West,2023-11-18,8,Loyal
1095,Dr. Jason Scott,South,2021-04-07,6,Recovered
1096,Patricia Rogers,South,2024-01-10,5,New
1097,Laura Jones,EAST,2023-12-07,5,Recovered
1098,Jeffrey Maxwell,West,2022-01-27,8,New
1099,Lori Howard,EAST,2021-02-27,5,Recovered
1100,Michael Simon,EAST,2020-12-27,0,New
1101,Ryan Martin,south-west,2020-11-14,2,Recovered
1102,Robert Hansen,Central,2022-11-19,0,AtRisk
1103,Megan Chandler,East,2023-06-25,6,Recovered
1104,David Herrera,West,2021-04-01,4,AtRisk
1105,Taylor Clarke,Central,2023-03-11,2,AtRisk
1106,Jennifer Ewing,east,2023-05-16,7,New
1107,Emily Hoffman,West,2023-06-09,4,Recovered
1108,Sharon Bautista,Central,2022-07-31,8,Recovered
1109,Aaron Garcia,EAST,2023-07-31,7,New
1110,Melissa Grimes,South,2024-03-14,4,Recovered
1111,Ronald Chavez,south-west,2021-06-24,8,New
1112,Joseph Flores,East,2021-04-03,3,New
1113,Louis Jones,Central,2021-07-04,6,New
1114,Grace Price,South,2022-03-25,1,Recovered
1115,Gina Banks,West,2023-09-16,8,New
1116,Melissa Rivera,Central,2021-10-25,6,Recovered
1117,Amanda Lang,North,2024-04-14,2,Loyal
1118,Briana Alvarado,South,2022-03-18,5,New
1119,Cameron Hernandez,east,2022-08-08,7,Loyal
1120,Daniel Meyer,South,2024-03-15,8,AtRisk
1121,Stephanie Garrison,East,2020-08-21,6,New
1122,Christopher Martinez,east,2021-10-07,5,New
1123,Colleen Greene,south-west,2022-08-21,1,Loyal
1124,Megan Novak,East,2022-12-19,1,Loyal
1125,Debbie Andrews,West,2021-05-22,6,Recovered
1126,Lee Luna,east,2021-01-19,8,AtRisk
1127,George Edwards,Central,2023-05-12,1,Recovered
1128,Vincent Day,North,2022-07-03,4,New
1129,Karina Jones,East,2023-11-05,2,AtRisk
1130,Mary Sandoval,North,2020-10-06,3,Recovered
1131,Mark Gomez,West,2020-06-11,5,New
1132,Scott Winters,West,2022-09-20,1,Loyal
1133,Victor Wagner,south-west,2021-06-12,1,Loyal
1134,Joseph Aguilar,West,2023-12-05,2,New
1135,Christopher Chen,South,2023-09-10,3,Loyal
1136,Scott Hernandez,South,2024-02-09,5,Loyal
1137,Jessica Harmon,south-west,2022-11-05,1,Loyal
1138,Bonnie Stewart,South,2022-04-19,7,Recovered
1139,Heather Olson,Central,2021-04-20,7,Recovered
1140,Carla Flores,EAST,2020-09-30,4,Loyal
1141,David Palmer,North,2022-09-16,3,AtRisk
1142,Marvin Hamilton,North,2022-04-23,4,Recovered
1143,Miss Chelsea Castro DDS,Central,2021-02-23,2,Recovered
1144,Brian Browning,EAST,2023-05-03,6,New
1145,Stephanie Powell,east,2023-02-03,7,New
1146,Jonathan Andrade,south-west,2020-06-07,1,New
1147,William Palmer,south-west,2023-08-14,0,AtRisk
1148,Dean Allison,West,2021-06-23,1,Recovered
1149,Jordan Elliott,North,2020-05-13,2,Loyal
1150,Bobby Hunter,North,2020-12-06,3,Recovered
1151,Sabrina Lester,West,2022-07-16,5,AtRisk
1152,Thomas Garcia,east,2022-09-14,6,AtRisk
1153,Michelle Martinez,East,2023-07-31,7,New
1154,Edward Castillo,North,2020-10-01,0,Loyal
1155,Rachel Goodman,North,2023-04-10,0,New
1156,Dennis Acevedo,East,2023-06-18,1,New
1157,Cheryl Wu,West,2021-12-10,0,AtRisk
1158,Kelly Gallagher,East,2024-03-02,8,AtRisk
1159,Kelli Smith,North,2022-01-28,5,Recovered
1160,Phillip Soto,West,2023-04-21,7,AtRisk
1161,David Ellis,East,2023-01-02,0,New
1162,Deborah Rice,east,2022-01-14,3,Loyal
1163,Elizabeth Vaughn,West,2023-05-01,4,New
1164,William Ramsey,North,2023-05-04,7,New
1165,Richard Burnett,Central,2022-07-24,6,AtRisk
1166,David Mccullough,south-west,2021-12-15,2,New
1167,Terry Frederick,North,2021-12-20,6,AtRisk
1168,Denise Gonzales,South,2022-05-02,5,New
1169,Michael Edwards,south-west,2023-09-26,0,Recovered
1170,Eric Davis,North,2023-10-15,7,New
1171,Ronald Marquez,south-west,2024-04-21,1,Recovered
1172,Eric Barr,EAST,2023-02-01,0,AtRisk
1173,David King MD,North,2022-09-14,3,AtRisk
1174,Deborah Saunders,West,2021-12-25,0,New
1175,Teresa Lopez,West,2021-10-20,6,New
1176,Ashley Williams,EAST,2021-11-24,6,Recovered
1177,Katherine West,east,2020-11-01,2,New
1178,Katherine Kerr,EAST,2020-11-13,0,Recovered
1179,Desiree Miller,EAST,2021-12-21,3,New
1180,Jennifer Smith,south-west,2020-10-03,8,AtRisk
1181,Tiffany Smith,East,2024-04-07,6,AtRisk
1182,James Gray,West,2020-07-24,8,Recovered
1183,Kenneth Graves,East,2020-05-08,1,Recovered
1184,Brittney Chen,EAST,2023-07-20,3,Loyal
1185,Cameron Levine,east,2021-07-26,6,New
1186,Timothy Williams,West,2021-09-28,4,AtRisk
1187,Kayla Solomon,North,2022-06-10,6,Recovered
1188,Ashley Todd,North,2023-09-04,4,AtRisk
1189,Jennifer Farrell,North,2022-11-18,2,AtRisk
1190,Elizabeth Robinson,south-west,2023-12-27,5,AtRisk
1191,Kyle Smith Jr.,South,2023-10-31,5,Loyal
1192,Gregory Medina,EAST,2020-06-06,2,Recovered
1193,Nancy King,South,2022-05-23,1,AtRisk
1194,Casey Brown,Central,2024-02-09,5,AtRisk
1195,Michael Lee,south-west,2023-08-22,0,AtRisk
1196,Dr. Elizabeth Johnston DDS,North,2022-02-09,3,Recovered
